game_id,show_number,air_date,comments,contestant,final_score,winner,url,season
642,2855,1997-01-17T00:00:00Z,,Pam Wilson,10000,TRUE,https://j-archive.com/showgame.php?game_id=642,13
642,2855,1997-01-17T00:00:00Z,,Bruce Bullock,6199,FALSE,https://j-archive.com/showgame.php?game_id=642,13
640,2854,1997-01-16T00:00:00Z,Paul Gutowski game 5.,Paul Gutowski,15801,TRUE,https://j-archive.com/showgame.php?game_id=640,13
640,2854,1997-01-16T00:00:00Z,Paul Gutowski game 5.,Heidi Shultz,7400,FALSE,https://j-archive.com/showgame.php?game_id=640,13
640,2854,1997-01-16T00:00:00Z,Paul Gutowski game 5.,Chris Kahn,0,FALSE,https://j-archive.com/showgame.php?game_id=640,13
638,2853,1997-01-15T00:00:00Z,Paul Gutowski game 4.,Paul Gutowski,3199,TRUE,https://j-archive.com/showgame.php?game_id=638,13
638,2853,1997-01-15T00:00:00Z,Paul Gutowski game 4.,Doug Fitch,0,FALSE,https://j-archive.com/showgame.php?game_id=638,13
638,2853,1997-01-15T00:00:00Z,Paul Gutowski game 4.,Julie Johnson,2500,FALSE,https://j-archive.com/showgame.php?game_id=638,13
636,2852,1997-01-14T00:00:00Z,Paul Gutowski game 3.,Paul Gutowski,9500,TRUE,https://j-archive.com/showgame.php?game_id=636,13
636,2852,1997-01-14T00:00:00Z,Paul Gutowski game 3.,Peter Dent,3199,FALSE,https://j-archive.com/showgame.php?game_id=636,13
636,2852,1997-01-14T00:00:00Z,Paul Gutowski game 3.,Mita Choudhury,1500,FALSE,https://j-archive.com/showgame.php?game_id=636,13
635,2851,1997-01-13T00:00:00Z,Paul Gutowski game 2.,Paul Gutowski,8400,TRUE,https://j-archive.com/showgame.php?game_id=635,13
635,2851,1997-01-13T00:00:00Z,Paul Gutowski game 2.,Marlene Reiss,1,FALSE,https://j-archive.com/showgame.php?game_id=635,13
635,2851,1997-01-13T00:00:00Z,Paul Gutowski game 2.,Scott Miskimon,5401,FALSE,https://j-archive.com/showgame.php?game_id=635,13
