city,census2010
"West Des Moines city, Iowa","56,609"
"South San Francisco city, California","63,632"
"Yorba Linda city, California","64,234"
"Conway city, Arkansas","58,908"
"Lodi city, California","62,134"
"Palatine village, Illinois","68,557"
"Ankeny city, Iowa","45,582"
"Mount Vernon city, New York","67,292"
"Rowlett city, Texas","56,199"
"Waterloo city, Iowa","68,406"
"Lakeville city, Minnesota","55,954"
"Alpharetta city, Georgia","57,551"
"Jackson city, Tennessee","65,211"
"Yuba City city, California","64,925"
"Oshkosh city, Wisconsin","66,083"
"Victoria city, Texas","62,592"
"Johnson City city, Tennessee","63,152"
"Redondo Beach city, California","66,748"
"Tamarac city, Florida","60,427"
"Laguna Niguel city, California","62,979"
"Eagan city, Minnesota","64,206"
"Kenner city, Louisiana","66,702"
"Auburn city, Alabama","53,380"
"Ames city, Iowa","58,965"
"Portland city, Maine","66,194"
"North Little Rock city, Arkansas","62,304"
"Sammamish city, Washington","45,780"
"Madera city, California","61,416"
"Shawnee city, Kansas","62,209"
"Jupiter town, Florida","55,156"
"Doral city, Florida","45,704"
"Blaine city, Minnesota","57,186"
"Tulare city, California","59,278"
"Youngstown city, Ohio","66,982"
"Wellington village, Florida","56,508"
"Pflugerville city, Texas","46,936"
"Palo Alto city, California","64,403"
"Schenectady city, New York","66,135"
"Harlingen city, Texas","64,849"
"Bayonne city, New Jersey","63,024"
"Eden Prairie city, Minnesota","60,797"
"Port Orange city, Florida","56,048"
"Dublin city, California","46,036"
"San Marcos city, Texas","44,894"
"Noblesville city, Indiana","51,969"
"Santa Cruz city, California","59,946"
"Janesville city, Wisconsin","63,575"
"San Clemente city, California","63,522"
"Brentwood city, California","51,481"
"East Orange city, New Jersey","64,270"
"Cheyenne city, Wyoming","59,466"
"Eastvale city, California",(X)
"Chapel Hill town, North Carolina","57,233"
"Haverhill city, Massachusetts","60,879"
"Lorain city, Ohio","64,097"
"Grand Junction city, Colorado","58,566"
"Springfield city, Oregon","59,403"
"Coon Rapids city, Minnesota","61,476"
"Idaho Falls city, Idaho","56,813"
"North Miami city, Florida","58,786"
"Encinitas city, California","59,518"
"Skokie village, Illinois","64,784"
"Leander city, Texas","26,521"
"Waltham city, Massachusetts","60,632"
"Council Bluffs city, Iowa","62,230"
"Hamilton city, Ohio","62,477"
"Moore city, Oklahoma","55,081"
"Pico Rivera city, California","62,942"
"Montebello city, California","62,500"
"Millcreek city, Utah",(X)
"Sanford city, Florida","53,570"
"National City city, California","58,582"
"Burnsville city, Minnesota","60,306"
"Coconut Creek city, Florida","52,909"
"Lakewood city, Washington","58,163"
"Taylor city, Michigan","63,131"
"Novi city, Michigan","55,224"
"Marietta city, Georgia","56,579"
"Ocala city, Florida","56,315"
"Terre Haute city, Indiana","60,785"
"Woodland city, California","55,468"
"Petaluma city, California","57,941"
"La Habra city, California","60,239"
"Malden city, Massachusetts","59,450"
"Commerce City city, Colorado","45,913"
"Owensboro city, Kentucky","57,265"
"Bristol city, Connecticut","60,477"
"West Allis city, Wisconsin","60,411"
"Taylorsville city, Utah","58,652"
"Utica city, New York","62,235"
"Monterey Park city, California","60,269"
"Bonita Springs city, Florida","43,914"
"Porterville city, California","54,165"
"Greenwood city, Indiana","49,791"
"Bartlett city, Tennessee","54,613"
"Bradenton city, Florida","49,546"
"Vineland city, New Jersey","60,724"
"Pontiac city, Michigan","59,515"
"Meriden city, Connecticut","60,868"
"Gardena city, California","58,829"
"Apex town, North Carolina","37,476"
"Royal Oak city, Michigan","57,236"
"Cupertino city, California","58,302"
"Lancaster city, Pennsylvania","59,322"
"La Mesa city, California","57,065"
"Gilroy city, California","48,821"
"St. Clair Shores city, Michigan","59,715"
"Des Plaines city, Illinois","58,364"
"Springfield city, Ohio","60,608"
"Corvallis city, Oregon","54,462"
"Margate city, Florida","53,284"
"Bowie city, Maryland","54,727"
"Casa Grande city, Arizona","48,571"
"Caldwell city, Idaho","46,237"
"San Rafael city, California","57,713"
"Great Falls city, Montana","58,505"
"Sarasota city, Florida","51,917"
"Richland city, Washington","48,058"
"St. Peters city, Missouri","52,575"
"Hendersonville city, Tennessee","51,372"
"White Plains city, New York","56,853"
"Huntersville town, North Carolina","46,773"
"Santee city, California","53,413"
"Kokomo city, Indiana","45,468"
"Arcadia city, California","56,364"
"Casper city, Wyoming","55,316"
"Dubuque city, Iowa","57,637"
"Orland Park village, Illinois","56,767"
"Weymouth Town city, Massachusetts","53,743"
"Parker town, Colorado","45,297"
"Palm Beach Gardens city, Florida","48,452"
"Hanford city, California","53,967"
"Huntington Park city, California","58,114"
"Taunton city, Massachusetts","55,874"
"Midwest City city, Oklahoma","54,371"
"Medford city, Massachusetts","56,173"
"Euless city, Texas","51,277"
"Shoreline city, Washington","53,007"
"Smyrna city, Georgia","51,271"
"Pocatello city, Idaho","54,255"
"Valdosta city, Georgia","54,518"
"Carson City, Nevada","55,274"
"Lake Havasu City city, Arizona","52,527"
"Grand Forks city, North Dakota","52,838"
"Blue Springs city, Missouri","52,575"
"Southaven city, Mississippi","48,982"
"Tinley Park village, Illinois","56,703"
"Diamond Bar city, California","55,544"
"New Brunswick city, New Jersey","55,181"
"Lenexa city, Kansas","48,190"
"Brookhaven city, Georgia",(X)
"Novato city, California","51,904"
"Tigard city, Oregon","48,035"
"Highland city, California","53,104"
"Fountain Valley city, California","55,313"
"Dearborn Heights city, Michigan","57,774"
"Albany city, Oregon","50,158"
"Grapevine city, Texas","46,334"
"Apple Valley city, Minnesota","49,084"
"Chicopee city, Massachusetts","55,298"
"Hempstead village, New York","53,891"
"Oak Lawn village, Illinois","56,690"
"Cathedral City city, California","51,200"
"Bentonville city, Arkansas","35,301"
"Stonecrest city, Georgia",(X)
"Kettering city, Ohio","56,163"
"Colton city, California","52,154"
"Anderson city, Indiana","56,129"
"West Haven city, Connecticut","55,564"
"Burlington city, North Carolina","49,963"
"Manhattan city, Kansas","52,281"
"St. Cloud city, Florida","35,183"
"Normal town, Illinois","52,497"
"Decatur city, Alabama","55,683"
"Berwyn city, Illinois","56,657"
"Port Arthur city, Texas","53,818"
"Kingsport city, Tennessee","48,205"
"Minnetonka city, Minnesota","49,734"
"Rosemead city, California","53,764"
"Paramount city, California","54,098"
"Rocky Mount city, North Carolina","57,477"
"Yucaipa city, California","51,367"
"Watsonville city, California","51,199"
"Elyria city, Ohio","54,533"
"Leesburg town, Virginia","42,616"
"Mount Prospect village, Illinois","54,167"
"Pinellas Park city, Florida","49,079"
"Delano city, California","53,041"
"Bellevue city, Nebraska","50,137"
"West Sacramento city, California","48,744"
"Apopka city, Florida","41,542"
"Palm Desert city, California","48,445"
"Milford city (balance), Connecticut","51,271"
"Little Elm city, Texas","25,898"
"Revere city, Massachusetts","51,755"
"Peabody city, Massachusetts","51,251"
"Wylie city, Texas","41,427"
"Harrisonburg city, Virginia","48,914"
"DeSoto city, Texas","49,047"
"Pensacola city, Florida","51,923"
"Olympia city, Washington","46,478"
"Edina city, Minnesota","47,941"
"Wheaton city, Illinois","52,894"
"West New York town, New Jersey","49,708"
"Hoboken city, New Jersey","50,005"
